r_arcsec,SB
0, 1.7500213529079105e-17
0.5071136028386662, 1.2286389980107234e-17
0.5813454950043389, 1.0946738521622718e-17
0.687932688735535, 9.888731910916648e-18
0.9010607554774255, 7.778066855203063e-18
1.010836595869564, 6.778791331008139e-18
1.1303004551527656, 5.8455353002443525e-18
1.2206955664977401, 5.1844601160311716e-18
1.3207741644946756, 4.533259643405465e-18
1.483725156145015, 3.4178687592615313e-18
1.605306942688005, 3.0402084487099205e-18
1.6968688074283829, 2.721843295324655e-18
1.7443499423746578, 2.459712399362411e-18
1.7985574303580225, 2.367007284693271e-18
1.849389056191611, 2.185200493991993e-18
1.9244909826525662, 2.0445558552436015e-18
1.9847940615641473, 1.9477733896802664e-18
2.092467941341953, 1.7718006306963037e-18
2.195825097495643, 1.6053366075338864e-18
2.30241034095046, 1.4479351880719333e-18
2.419180996659657, 1.3290597582748406e-18
2.534340739541353, 1.1815882777500689e-18
2.538241327636756, 1.2005466248181562e-18
2.635124946046056, 1.0826211137810294e-18
2.706213337246335, 1.0363047075106033e-18
2.75402377574665, 9.961964306897987e-19
2.8289778701337163, 9.42396194102327e-19
2.9000561916994467, 8.948916956084875e-19
2.9827692228208598, 8.451078237841882e-19
3.0377265479827047, 8.01370142653612e-19
3.107545957427404, 7.685645381976844e-19
3.2057268109526653, 7.074390139935699e-19
3.2446527236093052, 6.82362682751262e-19
3.3136005791621352, 6.611708378065361e-19
3.4096135623107253, 6.220159465734814e-19
3.445410251336683, 5.967458125656501e-19
3.5113300417247784, 5.737021257762577e-19
3.5914935531786973, 5.581751638966327e-19
3.648021628300519, 5.308050833210501e-19
3.720717928705901, 5.044818498420057e-19
3.7918207462890914, 4.88465197580135e-19
3.862918751329892, 4.711523695389174e-19
3.9339951111741973, 4.467057473273203e-19
4.00509429686208, 4.3127731664918497e-19
4.076183587602992, 4.1312163230859895e-19
4.147267312436235, 3.939843929148966e-19
4.2183592455777585, 3.7819167646022944e-19
4.28944600636064, 3.6154341064112346e-19
4.360537545953137, 3.4694259641586945e-19
4.428929606270177, 3.317032680856148e-19
4.506459484260806, 3.180851705181703e-19
4.634284922706866, 2.957340170771092e-19
4.70951354765895, 2.791740262151428e-19
4.780604862366288, 2.678518178760578e-19
4.851693647115595, 2.564728223225746e-19
4.922780913890082, 2.4528127916258877e-19
4.9906453683259375, 2.3663313638441554e-19
5.123122724535772, 2.171553681973235e-19
5.191005799462744, 2.1262082397628952e-19
5.329897375137472, 1.8702075077507758e-19
5.388071133745718, 1.8196421244584664e-19
5.575465558882377, 1.5954294370485007e-19
5.64654219983313, 1.512985420731835e-19
5.707215762050829, 1.373524732682407e-19
5.717631111080338, 1.448855713216375e-19
5.7887167333821035, 1.3838239604842082e-19
5.859794639311874, 1.313634077156444e-19
5.916348451485924, 1.2750236890906895e-19
0.12818478884482043, 1.673987271650042e-17
0.2672354012322584, 1.5711347166285328e-17
0.4062261468233186, 1.4061143941000745e-17
5.467325201426825, 1.6873084919558262e-19
5.27042330813939, 1.97715768929542e-19
1.401731148195266, 3.9559074938285e-18
0.7766818828107465, 9.020893792988923e-18
10, 1e-20
14,1e-21
