Entity,democracy_eiu2024,life_expectancy_0__sex_total__age_02023,observation_value__indicator_child_mortality_rate__sex_total__wealth_quintile_total__unit_of_measure_deaths_per_100_live_births2023,sh_xpd_chex_pp_cd2022,_10_4_2__si_dst_fisp__postfiscal_disposable_income2100,_10_4_2__si_dst_fisp__prefiscal_income2100,population2100,owid_region2100,value__category_total__sex_total__age_total__unit_of_measurement_rate_per_100_000_population2023,death_rate100k__age_group_age_standardized__sex_both_sexes__cause_self_harm2021
Guernsey,,,,,,,52878.0,,,
Guinea,2.04,,9.503142,,,,32006992.0,,,8.186598
Guinea-Bissau,2.03,,6.9304852,,,,4665439.0,,,12.198471
Guyana,6.11,,2.5735626,,,,888905.0,,,26.403877
Haiti,2.74,,5.511968,,,,15151041.0,,40.845173,9.273378
High-income countries,,,0.49548858,,,,1248983342.0,,,
Honduras,4.98,,1.5510595,,,,17029925.0,,,3.7209888
Hong Kong,5.09,,,,,,2080244.0,,,
Hungary,6.51,,0.3802798,,,,7460693.0,,,11.423189
Iceland,9.38,,0.25747254,5824.0,,,362537.0,,,10.845418
India,7.29,,2.7745812,,,,1505251699.0,,,12.62475
Indonesia,6.44,,2.062438,,,,295511006.0,,,1.2844223
Iran,1.96,,1.1773313,,,,80045247.0,,,4.0712237
Iraq,2.8,,2.2616258,,,,100649008.0,,,3.814856
Ireland,9.19,,0.38037205,7875.4688,,,5286069.0,,,7.682318
Isle of Man,,,,,,,58026.0,,,
Israel,7.8,,0.33853307,,,,19746999.0,,,4.3952284
Italy,7.58,,0.27559024,4675.0,,,35376774.0,,,4.631175
Jamaica,6.74,,1.932888,,,,1066724.0,,,1.6691929
Japan,8.48,,0.23632938,,,,76845944.0,,,14.7329235
Jersey,,,,,,,99763.0,,,
Jordan,3.28,,1.3212277,,,,21322861.0,,0.99673176,0.67301744
Kazakhstan,3.08,,0.96476495,,,,33672119.0,,,15.000076
Kenya,5.05,,3.9902086,,,,104195450.0,,,8.87459
Kiribati,,,5.514162,,,,222595.0,,,18.727057
Kosovo,,,0.9105815,,,,1094678.0,,,
Kuwait,2.78,,0.8750813,,,,9601951.0,,,2.0594802
Kyrgyzstan,3.52,,1.6981885,,,,11729773.0,,,7.693404
Laos,1.71,,3.900136,,,,9256235.0,,,5.003563
Latin America and the Caribbean (UN),,,,,,,613447167.0,,,
Latvia,7.66,,0.29638675,,,,925325.0,,,12.001454
Lebanon,3.56,,1.831359,,,,7192537.0,,,0.69805247
Lesotho,6.06,,5.893403,,,,3259254.0,,,37.36247
Liberia,5.57,,7.288282,,,,12665351.0,,,9.5855665
Libya,2.31,,3.0784101,,,,9783526.0,,,5.086109
Liechtenstein,,,,,,,43564.0,,,
Lithuania,7.59,,0.33803073,3709.0,,,1208620.0,,,16.764494
Low-income countries,,,6.2260566,,,,2151928548.0,,,
Lower-middle-income countries,,,4.3494577,,,,4720289676.0,,,
Luxembourg,8.88,,0.23358402,7540.0,,,747942.0,,,6.221126
Macao,,,,,,,331126.0,,0.5680612,
Madagascar,5.33,,6.4770794,,,,85341086.0,,,10.034482
Malawi,5.85,,3.8340082,,,,59141201.0,,,14.160264
Malaysia,7.11,,0.80801296,,,,44026076.0,,,5.534715
Maldives,,,0.5705662,,,,474863.0,,,1.9464711
Mali,2.4,,9.130145,,,,79353995.0,,,8.33286
Malta,7.93,,0.54956377,,,,359888.0,,0.5606801,5.5582776
Marshall Islands,,,2.817664,,,,23782.0,,,18.197636
Martinique,,,,,,,209763.0,,,
Mauritania,3.96,,3.7804275,,,,17118416.0,,,4.8812833
Mauritius,8.23,,1.5172535,,,,581668.0,,,9.394605
Mayotte,,,,,,,1375496.0,,,
Mexico,5.32,,1.2459075,,,,130248778.0,,,6.8965597
Micronesia (country),,,2.308384,,,,128107.0,,,21.032232
Moldova,6.04,,1.4674314,,,,1487683.0,,2.270127,12.22539
Monaco,,,0.27435797,,,,47461.0,,,12.629022
Mongolia,6.53,,1.3635615,,,,5519303.0,,,19.67215
Montenegro,6.73,,0.2584639,,,,325971.0,,,9.004235
Montserrat,,,0.6466313,,,,2752.0,,,
