nm, counts
198.39388542422043, 54.774999999999864
198.44902102973168, 220.34285714285693
198.4364902102973, 177.625
198.4364902102973, 147.92499999999995
198.4364902102973, 118.22499999999991
198.4364902102973, 88.52499999999986
198.54425525743292, 413.875
198.49914430746918, 372.02499999999986
198.49914430746918, 342.32500000000005
198.49914430746918, 312.625
198.49914430746918, 282.92499999999995
198.49914430746918, 253.2249999999999
198.61609862218998, 525.925
198.61192168237852, 490.82500000000005
198.61192168237852, 461.125
198.59939086294415, 444.92499999999995
198.8500072516316, 627.715
198.72469905728786, 575.875
198.86253807106598, 689.95
198.8500072516316, 655.525
199.02543872371282, 604.225
199.02543872371282, 574.525
199.02543872371282, 546.175
199.26770123277737, 500.04999999999995
199.51664684554024, 491.905
199.70627991298042, 485.42499999999995
199.88066715010876, 508.375
200.0613197969543, 560.5749999999999
200.1469470630892, 527.275
200.21085424220448, 504.46000000000004
200.5241247280638, 475.7950000000001
200.67950688905003, 481.375
201.03454677302392, 514.675
201.13061638868743, 525.925
201.5107179115301, 523.225
201.66317621464827, 558.325
201.99620683884643, 572.7596153846155
202.2991153009427, 569.4625
202.54910514865844, 585.865
203.0353009427121, 578.9703571428572
203.45060810110846, 590.9178571428571
203.74955765047133, 575.875
203.93035947373872, 578.575
204.10355329949238, 549.2500000000001
204.23467937428777, 591.3035714285714
204.5515300942712, 667.6750000000001
204.53899927483684, 619.075
204.66430746918056, 695.6392857142857
204.97757795503986, 801.1562500000001
204.91492385786802, 756.7750000000001
205.1968672951414, 900.2125000000001
205.1404786076867, 858.0250000000001
205.1404786076867, 829.6750000000001
205.3785641769398, 1055.4625
205.31591007976795, 1011.9250000000001
205.31591007976795, 982.2250000000001
205.31591007976795, 952.5250000000001
205.31591007976795, 922.825
205.49635387962292, 1097.785
205.6041189267585, 1194.8500000000001
205.55399564902103, 1152.3250000000003
205.55399564902103, 1122.625
205.76701957940534, 1234.1350000000002
205.76701957940534, 1394.6307142857145
205.77955039883972, 1361.5750000000003
205.77955039883972, 1331.8750000000002
205.77955039883972, 1302.1750000000002
205.77955039883972, 1272.4750000000001
206.04269760696155, 1166.3650000000002
206.0376852791878, 1134.775
205.9675126903553, 1108.0750000000003
205.97252501812906, 1078.525
205.96960116026105, 1037.2375000000002
206.04269760696155, 1187.4250000000002
