.,Charact.,Unit,FIREBall-2 2025,FIREBall-2 2018,FIREBall-1,UVEX FUV,UVEX NUV,SCWI,ASPERA,JUNO UVS,GALEX FUV,GALEX NUV,LUMOS,ISTOS,CASTOR DMD,CETUS,KCWI blue,KCWI red,Blue MUSE,NIRSPEC,ELT Harmony,MUSE wide,MUSE narrow,NISP,SPHERE IRDIS,SPHEREx,tREXS,SUMIRE PFS Blue,VLT MOONS,MOSAIC,EUCLID vis,MESSIER nuv,UVEX fuv,UVEX nuv,GALEX fuv,GALEX nuv
Instr perf,PSF_RMS_mask,""" σ",2.5,2.5,1.0,0.96,0.96,1.0,0.1,540.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.96,0.96,0.0,0.0
nan,PSF_RMS_det,""" (σ)",3.0,3.0,4.26,0.96,0.96,1.7,51.0,540.0,1.83,2.26,0.02,4.4,0.3,0.4,0.59,0.59,0.02,0.1,0.05,0.02,0.02,0.23,0.3,6.2,120.0,1.6,1.0,0.1,0.23,1.0,0.96,0.96,1.83,2.26
nan,Throughput,%/100,0.11,0.11,0.11,0.1,0.1,0.15,0.1,1.0,0.16,0.16,0.8,0.15,0.7,0.5,0.3,0.3,0.35,0.2,0.35,0.25,0.2,0.5,0.25,0.8,0.07,0.53,0.3,0.17,0.8,0.66,0.1,0.1,0.16,0.16
Detector,Detector_type,.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pixel_size,μm,13.0,13.0,37.0,10.0,10.0,13.0,37.5,nan,37.0,37.0,6.5,20.0,10.0,12.0,15.0,15.0,15.0,18.0,15.0,15.0,15.0,16.0,18.0,6.2,16.0,15.0,15.0,6.5,18.0,10.0,10.0,10.0,37.0,37.0
nan,readout_time,sec,5.0,0.5,0.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,16.0,16.0,2.5,10.0,10.0,2.5,2.5,10.0,0.8,4.0,0.0,106.0,5.0,100.0,10.0,0.0,6.0,6.0,0.0,0.0
nan,RN,e-/pix,32.0,107.0,0.0,2.0,2.0,32.0,0.0,0.0,0.0,0.0,3.0,1e-06,2.0,0.0,3.0,3.0,2.6,16.0,18.0,2.6,2.6,28.0,4.0,4.0,4.0,2.5,5.0,2.3,4.4,5.0,2.0,2.0,0.0,0.0
nan,Dark_current,e-/pix/hour,1.0,1.0,0.608,3.6,3.6,1.0,0.03,0.08,0.049,0.049,18.0,0.0005,3.6,0.005,1.0,3.0,3.0,7.0,36.0,3.0,3.0,14.0,210.0,180.0,0.5,1.4,30.0,18.0,0.1,1.0,3.6,3.6,0.049,0.049
nan,QE,%/100,0.7,0.5,0.05,0.9,0.9,0.7,0.3,0.3,0.12,0.08,0.13,0.7,0.9,0.5,0.85,0.85,0.7,0.7,0.8,0.7,0.7,0.75,0.95,0.8,0.7,0.9,0.95,0.8,0.85,0.85,0.9,0.9,0.12,0.08
nan,cosmic_ray_loss_per_sec,./sec,0.005,0.005,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0
FB specific,smearing,pix,0.5,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nan,CIC_charge,e-/exp,0.015,0.015,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.015,0.0,0.0,0.0,0.0
nan,EM_gain,e-/e-,1500.0,1400.0,1.0,1.0,1.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,700.0,1.0,1.0,1.0,1.0
nan,extra_background,e-/pix/hour,0.015,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1
Imag.,Full_well,kADU,52.0,56.0,60.0,60.0,60.0,52.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,100.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
nan,conversion_gain,ADU/e-,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nan,Throughput_FWHM,Å,400.0,300.0,160.0,1500.0,1500.0,400.0,50.0,1420.0,400.0,1050.0,1000.0,1200.0,1500.0,1700.0,2100.0,5200.0,2300.0,279000.0,5500.0,4650.0,4650.0,2920.0,7000.0,16700.0,24.0,2700.0,4000.0,2500.0,1000.0,200.0,115.0,275.0,152.8,227.1
